company,segment,location,website,email,phone,notes
Beauty Lab Stavanger,klinikk,Stavanger,,,,"TOPP-MÅL: kun via Timma-booking, ingen egen nettside funnet. Frisør/skjønnhet. Landing Page Sprint 7 900."
Nouveau Frisør,klinikk,Stavanger,,,,"TOPP-MÅL: kun via Timma, ingen egen side. Frisørsalong."
MA Frisør Stavanger,klinikk,Stavanger,,,,"TOPP-MÅL: kun via Timma, ingen egen side."
Hos Linda frisør,klinikk,Stavanger,,,,"Liten salong i Barbu. Booking via Timma/telefon — ingen egen side. Ring."
Solange Frisør,klinikk,Stavanger,,,51557843,"Frisør — ring for booking. Verifiser side; trolig svak/ingen."
Shine Frisør,klinikk,Stavanger,,,,"Frisør, O.T.Olsens gt 2. Finn telefon/side — trolig ingen egen."
Barberell Frisør,klinikk,Stavanger,barberell.no,,51562800,"Barber, Jelsagata 4 Storhaug. Har side — kjør «Analyser side» for forbedringer."
Kraftklinikken,klinikk,Stavanger,kraftklinikken.no,post@kraftklinikken.no,40003019,"Fysio/kiropraktor, Kvitsøygata 10. Har side — vinkel: redesign + optimalisering."
Klinikk Optimal,klinikk,Stavanger,klinikkoptimal.no,post@klinikkoptimal.no,51663333,"Fysio/kiropraktor Stavanger/Sola. Har side — «Analyser side» + optimalisering."
Nor Klinikken Stavanger Sentrum,klinikk,Stavanger,norklinikken.no,,,"Tverrfaglig klinikk. Har side (kjede) — lavere prioritet, mulig redesign."
Limbra Stavanger,klinikk,Stavanger,limbra.no,,,"Fysio/kiropraktor, Engelminnesgate 16C. Har side — lavere prioritet."
