company,segment,location,website,email,phone,notes
Symre bakeri og konditori,restaurant,Egersund,,,,"TOPP-MÅL: kun Facebook, ingen nettside funnet. Ring/FB-meld. Landing Page Sprint 7 900 eller Website Sprint."
Kalles Konditori Bakeri,restaurant,Egersund,,,,"Ingen egen side funnet (kun Yelp/kataloger). Strandgaten 65, Egersund. Ring for kontakt."
Mokka Kaffebar,restaurant,Egersund,,,,"Kafé — ingen egen side funnet. Enkel landingsside passer perfekt."
Bryne Montering & Snekkerservice AS,handverker,Bryne,,,46839701,"Snekker — ingen side funnet. Ring. Vinkel: enkel side med prosjekter + «be om tilbud»."
J S Service Jan Svela AS,handverker,Bryne,,,51488400,"Snekker/service — ingen egen side funnet. Ring."
Danielsen bygg AS,handverker,Kleppe,,,99269912,"Byggmester — ingen side funnet. Ring."
Tveita Bygg AS,handverker,Klepp stasjon,,,45253729,"Bygg — ingen side funnet. Ring."
Jæren Storbilvask AS,handverker,Bryne,,,51779498,"Bilpleie/vask — ingen egen side funnet. Enkel side + priser + booking."
Jæren Bilpleie 1 AS,handverker,Bryne,,,51433000,"Bilpleie — ingen egen side funnet. Ring."
Anleggsgartner Olav Een AS,handverker,Sola,,,,"Anleggsgartner — ingen side funnet. Vinkel: vis hageprosjekter (før/etter)."
Aktiv Hage & Anlegg AS,handverker,Sola,,,,"Hage/anlegg — ingen egen side funnet."
Lokalgartneren AS,handverker,Sandnes,,,,"Gartner (etablert 2023) — trenger nettside. Skogveien 21, Sandnes."
Murmester Svela AS,handverker,Sandnes,,,,"Murer siden 1981 — sannsynligvis gammel eller ingen side. Ring."
Flisespesialist Egeland,handverker,Sandnes,,,,"Flislegger/bad — ingen egen side funnet. Enkel leadside."
Jæren Bilverksted AS,handverker,Kleppe,,,90974707,"Bilverksted — kun via kjede-katalog, ofte ingen egen side. Kjøpmannsbrotet 12, Kleppe."
