company,segment,location,website,email,phone,notes
Colonialen Storhaug,restaurant,Stavanger,,,,"TOPP-MÅL: kun Instagram (@colonialenstorhaug), ingen nettside. Hjelmelandsgata 1. Landing Page Sprint 7 900 passer perfekt."
Kafé Oransjeriet,restaurant,Stavanger,,,,"TOPP-MÅL: kun Instagram (@kafeoransjeriet), ingen nettside. Avaldsnesgata 95A, plantebasert kafé."
BÅDEOG,restaurant,Sandnes,,,,"Kafé/møteplass i Sandnes sentrum. Finn IG/nettside — trolig svak/ingen side."
Fira,restaurant,Sandnes,fira.no,booking@fira.no,45035901,"Hjemmerestaurant. Har side men virker utdatert (http). Vinkel: løft booking + mobil."
Sandneskaféen,restaurant,Sandnes,,,,"Kafé — kun via restaurantguide. Verifiser nettside; trolig ingen egen."
Totalen Kaffebar,restaurant,Haugesund,totalen.no,post@totalen.no,92923350,"Kaffebar, Haraldsgata 173. Har side — kjør «Analyser side» for konkrete forbedringer."
MM Cafe og Bar,restaurant,Haugesund,,,,"Café/bar, Strandgata 130. Kun via bookingkatalog — trolig ingen egen side."
Haugli Bakeri,restaurant,Haugesund,,,,"Bakeri i Haugesund. Finn nettside — trolig svak/ingen."
Vanias Kafe,restaurant,Haugesund,,,,"Kafé i Haugesund. Trolig ingen egen side. Ring/IG."
Palmehaven Kafe (Oasen),restaurant,Karmsund,,,,"Kafé i Oasen kjøpesenter, Karmsund. Kun via katalog — trolig ingen egen side."
